project,person,role
Probing the Past: Virginia and Maryland Probate Inventories,Kevin Shupe,Affiliates
Probing the Past: Virginia and Maryland Probate Inventories,Martha MacKenzie,Affiliates
Probing the Past: Virginia and Maryland Probate Inventories,Nathan Richardson,Affiliates
Probing the Past: Virginia and Maryland Probate Inventories,Michael McKenna,Affiliates
Probing the Past: Virginia and Maryland Probate Inventories,Anna Olsen,Affiliates
Probing the Past: Virginia and Maryland Probate Inventories,Merceedes Taylor,Affiliates
Virginia Studies: Thinking Historically About Virginia,Kelly Schrum,Director(s)
Virginia Studies: Thinking Historically About Virginia,Chris Raymond,Web Designer(s)
Virginia Studies: Thinking Historically About Virginia,James McCartney,Programmers
Virginia Studies: Thinking Historically About Virginia,Kristin Lehner,Staff Members
Virginia Studies: Thinking Historically About Virginia,Jessica Kilday,Staff Members
Virginia Studies: Thinking Historically About Virginia,Nate Sleeter,Staff Members
Virginia Studies: Thinking Historically About Virginia,Adam Turner,Staff Members
Postal Memory Book,Sharon Leon,Proposal Co-Authors
Postal Memory Book,Chris Raymond,Web Designer(s)
Hidden in Plain Sight,Kelly Schrum,Director(s)
Hidden in Plain Sight,Chris Raymond,Web Designer(s)
Hidden in Plain Sight,James McCartney,Programmers
Hidden in Plain Sight,Kristin Lehner,Staff Members
Hidden in Plain Sight,Adam Turner,Staff Members
Hidden in Plain Sight,Jessica Kilday,Staff Members
Hidden in Plain Sight,Nate Sleeter,Staff Members
Hidden in Plain Sight,Chris Hamner,Content Experts
The Popular Romance Project,Kelly Schrum,Proposal Co-Authors
The Popular Romance Project,Chris Raymond,Web Designer(s)
The Popular Romance Project,James McCartney,Programmers
The Popular Romance Project,Chris Preperato,Programmers
The Popular Romance Project,Lara Harmon,Staff Members
The Popular Romance Project,Mary Bly (Eloisa James),Content Experts
The Popular Romance Project,Stephanie Coontz,Content Experts
The Popular Romance Project,Eli J. Finkel,Content Experts
The Popular Romance Project,Sarah S.G. Frantz,Content Experts
The Popular Romance Project,William Gleason,Content Experts
The Popular Romance Project,Darlene Clark Hine,Content Experts
The Popular Romance Project,Tara McPherson,Content Experts
The Popular Romance Project,Daniel Raff,Content Experts
The Popular Romance Project,Pamela Regis,Content Experts
The Popular Romance Project,Jack Santino,Content Experts
The Popular Romance Project,Eric Murphy Sellinger,Content Experts
The Popular Romance Project,Ronald Walters,Content Experts
The Popular Romance Project,Jesse Albro,Affiliates
The Popular Romance Project,Laurie Kahn,Affiliates
The Popular Romance Project,Joo Ah Lee,Affiliates
Sea of Liberty,Kelly Schrum,Director(s)
Sea of Liberty,Chris Raymond,Web Designer(s)
Sea of Liberty,James McCartney,Programmers
Sea of Liberty,Alaina Harmon,Staff Members
Sea of Liberty,Lara Harmon,Staff Members
Sea of Liberty,Jannelle Legg,Staff Members
Sea of Liberty,Anne McDivitt,Staff Members
Sea of Liberty,Amanda Morton,Staff Members
Sea of Liberty,Chris Preperato,Staff Members
Sea of Liberty,Amanda Regan,Staff Members
Sea of Liberty,Spencer Roberts,Staff Members
Sea of Liberty,Nate Sleeter,Staff Members
Sea of Liberty,Brian Boneau,Staff Members
Sea of Liberty,John Buescher,Staff Members
Sea of Liberty,Alaina Harmon,Staff Members
Sea of Liberty,Brynna Heflin,Staff Members
Sea of Liberty,Brittany Higgs,Staff Members
Sea of Liberty,Ellen Weintraub,Staff Members
Sea of Liberty,Christine Baron,Content Experts
Sea of Liberty,Bill Ferster,Content Experts
Sea of Liberty,Mark Howell,Content Experts
Sea of Liberty,Angela Stokes,Content Experts
Sea of Liberty,Stephanie van Hover,Content Experts
Sea of Liberty,Gary Sandling,Affiliates
Sea of Liberty,Melanie Bowyer,Affiliates
Sea of Liberty,Linnea Grim,Affiliates
Sea of Liberty,Elizabeth Jones,Affiliates
Sea of Liberty,Jacqueline Langholtz,Affiliates
Sea of Liberty,Samantha Lin,Affiliates
Sea of Liberty,Melissa Mitchem,Affiliates
Sea of Liberty,Austin Shepard,Affiliates
Sea of Liberty,Leah Stearns,Affiliates
Sea of Liberty,Jacquelyn Stiverson,Affiliates
Sea of Liberty,Jesse Wells,Affiliates
Sea of Liberty,Chad Wollerton,Affiliates
Sea of Liberty,Susan Stein,Affiliates
Sea of Liberty,Elizabeth Chew,Affiliates
Sea of Liberty,Christa Dierksheide,Affiliates
Sea of Liberty,Andrew O’Shaughnessy,Affiliates
For Virginians: Government Matters,Kelly Schrum,Director(s)
For Virginians: Government Matters,Chris Raymond,Web Designer(s)
For Virginians: Government Matters,Ken Albers,Programmers
For Virginians: Government Matters,Emily Perdue,Staff Members
For Virginians: Government Matters,Liz Moore,Staff Members
For Virginians: Government Matters,Kristin May,Staff Members
For Virginians: Government Matters,Melanie Biermann,Affiliates
For Virginians: Government Matters,Rob Campbell,Affiliates
For Virginians: Government Matters,Jessica Cromer,Affiliates
For Virginians: Government Matters,Jim Dillard,Affiliates
For Virginians: Government Matters,Shawn English,Affiliates
For Virginians: Government Matters,Steve Farnsworth,Affiliates
For Virginians: Government Matters,Jeff Geiger,Affiliates
For Virginians: Government Matters,Cliff Gold,Affiliates
For Virginians: Government Matters,"Harry E. Gregori, Jr.",Affiliates
For Virginians: Government Matters,Charlie Grymes,Affiliates
For Virginians: Government Matters,Karen Head,Affiliates
For Virginians: Government Matters,Meg Heubeck,Affiliates
For Virginians: Government Matters,Bob Holsworth,Affiliates
For Virginians: Government Matters,Quentin Kidd,Affiliates
For Virginians: Government Matters,Joe LaRocco,Affiliates
For Virginians: Government Matters,Georgia Lesser,Affiliates
For Virginians: Government Matters,Linda Long,Affiliates
For Virginians: Government Matters,Rebecca Mills,Affiliates
For Virginians: Government Matters,Mark Rozell,Affiliates
For Virginians: Government Matters,Deborah Sprenger,Affiliates
For Virginians: Government Matters,Kenneth Stroupe,Affiliates
For Virginians: Government Matters,Kelly Walker,Affiliates
For Virginians: Government Matters,Tanya Wanchek,Affiliates
For Virginians: Government Matters,Karenne Wood,Affiliates
For Virginians: Government Matters,Beverly Thurston,Affiliates
Imaging the French Revolution,Simon Kornblith,Programmers
Imaging the French Revolution,Elena Razlogova,Programmers
Imaging the French Revolution,Benjamin Huggins,Staff Members
Imaging the French Revolution,Vivian Cameron,Content Experts
Imaging the French Revolution,Jack Censer,Content Experts
Imaging the French Revolution,Wayne Hanley,Content Experts
Imaging the French Revolution,Barbara Day-Hickman,Content Experts
Imaging the French Revolution,Lynn Hunt,Content Experts
Imaging the French Revolution,Joan B. Landes,Content Experts
Imaging the French Revolution,Warren Roberts,Content Experts
Imaging the French Revolution,Mark Jones,Affiliates
Interpreting the Declaration of Independence by Translation,Jessica Finnefrock,Staff Members
Interpreting the Declaration of Independence by Translation,Mike O'Malley,Staff Members
Interpreting the Declaration of Independence by Translation,Roy Rosenzweig,Staff Members
Interpreting the Declaration of Independence by Translation,Leslie Sanborn,Affiliates
Interpreting the Declaration of Independence by Translation,John Sanborn,Affiliates
Interpreting the Declaration of Independence by Translation,Scott Stephan,Affiliates
Western Civilization Webography Project,T. Mills Kelly,Proposal Co-Authors
Western Civilization Webography Project,Michael Laine,Programmers
Western Civilization Webography Project,Elena Razlogova,Programmers
Western Civilization Webography Project,Simon Kornblith,Staff Members
Western Civilization Webography Project,Jeremy Boggs,Staff Members
Histories of the National Mall,Sharon Leon,Director(s)
Histories of the National Mall,Sheila Brennan,Director(s)
Histories of the National Mall,Kim Nguyen,Web Designer(s)
Histories of the National Mall,Jim Safley,Programmers
Histories of the National Mall,Megan Brett,Staff Members
Histories of the National Mall,Lindsay Bestebreurtje,Staff Members
Histories of the National Mall,James Halabuk,Staff Members
Histories of the National Mall,Spencer Crew,Content Experts
Histories of the National Mall,Michael O'Malley,Content Experts
Histories of the National Mall,Zachary Schrag,Content Experts
The Lost Museum,Roy Rosenzweig,Proposal Co-Authors
The Lost Museum,Joshua Brown,Proposal Co-Authors
The Lost Museum,Andrea Ades Vasquez,Proposal Co-Authors
The Lost Museum,Andrea Ades Vasquez,Director(s)
The Lost Museum,Andre Pitanga,Programmers
The Lost Museum,Joshua Harvey,Programmers
The Lost Museum,Burç Acar,Programmers
The Lost Museum,Christopher Terry,Programmers
The Lost Museum,Elena Razlogova,Programmers
The Lost Museum,Gene Yu,Programmers
The Lost Museum,Michael Laine,Programmers
The Lost Museum,Bluford Adams,Content Experts
The Lost Museum,Elizabeth Blackmar,Content Experts
The Lost Museum,Stephen Brier,Content Experts
The Lost Museum,Peter Buckley,Content Experts
The Lost Museum,James (Jay) Cook,Content Experts
The Lost Museum,Ann Fabian,Content Experts
The Lost Museum,Neil Harris,Content Experts
The Lost Museum,Kevin Kenny,Content Experts
The Lost Museum,Michael O'Malley,Content Experts
The Lost Museum,Benjamin Reiss,Content Experts
The Lost Museum,Pennee Bender,Affiliates
The Lost Museum,Ellen Noonan,Affiliates
The Lost Museum,Joshua Brown,Affiliates
The Lost Museum,Lee Ann Pomplas,Affiliates
The Lost Museum,Brian C. Muller,Affiliates
The Lost Museum,Cortlan McManus,Affiliates
The Lost Museum,Fernando Azevedo,Affiliates
The Lost Museum,Cristina Yunzal,Affiliates
The Lost Museum,Lilliana Halim,Affiliates
The Lost Museum,Steve Prince,Affiliates
The Lost Museum,Janine Giordano,Affiliates
The Lost Museum,Julie Joslyn,Affiliates
The Lost Museum,Leo Ciesa,Affiliates
The Lost Museum,Pat Muchmore,Affiliates
The Lost Museum,Peter Buckley,Affiliates
The Lost Museum,David Carson,Affiliates
The Lost Museum,Markeisha Ensley,Affiliates
The Lost Museum,Carol Greski,Affiliates
The Lost Museum,Sam Hurlbut,Affiliates
The Lost Museum,Frank Poje,Affiliates
The Lost Museum,Isa Vasquez,Affiliates
The Lost Museum,Madelyn Kent,Affiliates
Unveiling History: Exploring America's Past,Kelly Schrum,Director(s)
Unveiling History: Exploring America's Past,Jessica Kilday,Staff Members
Unveiling History: Exploring America's Past,Maria Tarasuk,Content Experts
Unveiling History: Exploring America's Past,Linda Spoales,Content Experts
Unveiling History: Exploring America's Past,Christopher Hamner,Content Experts
Unveiling History: Exploring America's Past,Adam Rothman,Content Experts
Unveiling History: Exploring America's Past,Michael O'Malley,Content Experts
Unveiling History: Exploring America's Past,Julie King,Content Experts
Unveiling History: Exploring America's Past,Rosemarie Zagarri,Content Experts
Scholarship in the Age of Abundance: Enhancing Historical Research with Text-Mining and Analysis Tools,Dan Cohen,Director(s)
Scholarship in the Age of Abundance: Enhancing Historical Research with Text-Mining and Analysis Tools,Sean Takats,Director(s)
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Roy Rosenzweig,Proposal Co-Authors
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Joshua Brown,Proposal Co-Authors
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Tom Scheinfeldt,Director(s)
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past","Greg (""Fritz"") Umbach",Director(s)
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Rikk Mulligan,Web Designer(s)
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Marty Andolino,Programmers
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Dan Cohen,Staff Members
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",T. Mills Kelly,Staff Members
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Jim Safley,Staff Members
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Pennee Bender,Affiliates
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Stephen Brier,Affiliates
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Ellen Noonan,Affiliates
"September 11 Digital Archive: Collecting, Preserving and Presenting the Past",Andrea Ades Vasquez,Affiliates
SmartFox: the Scholar’s Browser for Digital Collections ,Roy Rosenzweig,Proposal Co-Authors
SmartFox: the Scholar’s Browser for Digital Collections ,Dan Cohen,Proposal Co-Authors
SmartFox: the Scholar’s Browser for Digital Collections ,Dan Cohen,Director(s)
SmartFox: the Scholar’s Browser for Digital Collections ,Josh Greenberg,Director(s)
SmartFox: the Scholar’s Browser for Digital Collections ,Sean Takats,Director(s)
SmartFox: the Scholar’s Browser for Digital Collections ,Sean Takats,Staff Members
SmartFox: the Scholar’s Browser for Digital Collections ,Trevor Owens,Outreach
Who Built America?,Roy Rosenzweig,Proposal Co-Authors
Who Built America?,Stephen Brier,Director(s)
Who Built America?,Roy Rosenzweig,Director(s)
Who Built America?,Mike O'Malley,Staff Members
Who Built America?,Barbara Melosh,Content Experts
Who Built America?,Joshua Brown,Affiliates
Who Built America?,Pennee Bender,Affiliates
Who Built America?,Andrea Ades Vasquez,Affiliates
